ts,day,flags,ret,sigma,prev_close,open,high,low,close,volume,vwap,bar_count,is_filled
2020-03-23 09:51,2020-03-23,bar_range,0.00951797,0.00211507,168.35,168.35,169.98,168.17,169.96,537332,169.175,3501,False
2020-03-23 15:50,2020-03-23,bar_range,0.00704499,0.00254264,168.32,168.32,169.85,168.12,169.51,529047,169.052,3514,False
2020-03-25 09:30,2020-03-25,bar_range,,0.00143766,,184.41,184.49,182.65,182.79,1.60832e+06,183.813,6482,False
2020-03-25 15:50,2020-03-25,bar_range,-0.00903653,0.00161884,184.53,184.57,184.58,182.48,182.87,843190,183.326,5160,False
2020-03-26 09:30,2020-03-26,bar_range,,0.00170397,,183.83,185.55,183.61,185.4,616165,184.224,2137,False
2020-03-26 15:50,2020-03-26,abs_return;sigma_return;bar_range,0.0122759,0.00145977,188.64,188.66,191.31,188.64,190.97,1.70256e+06,190.443,9577,False
2020-04-02 15:50,2020-04-02,bar_range,0.00518556,0.00127753,184.65,184.63,190.1,184.63,185.61,718399,185.338,3833,False
2020-04-06 15:50,2020-04-06,sigma_return,0.00571985,0.000675232,195.25,195.25,196.92,195.24,196.37,1.13612e+06,195.99,6277,False
2020-04-07 15:50,2020-04-07,abs_return;sigma_return;bar_range,-0.010097,0.00112097,199.08,199.2,199.27,196.61,197.08,767992,197.47,5072,False
2020-04-23 12:44,2020-04-23,sigma_return,-0.00615098,0.00048771,213.63,213.65,213.69,212.12,212.32,690061,212.816,3364,False
2020-04-23 12:45,2020-04-23,sigma_return,-0.00628383,0.000579524,212.32,212.3,212.76,210.81,210.99,635040,211.966,3137,False
2020-04-23 12:47,2020-04-23,sigma_return,0.00701092,0.000678818,210.36,210.32,212.02,210.29,211.84,860974,211.077,4426,False
2020-05-05 15:37,2020-05-05,sigma_return,-0.0036785,0.000418363,217.88,217.86,217.88,217.01,217.08,237627,217.441,1087,False
2020-08-18 09:54,2020-08-18,sigma_return,-0.00245851,0.000244323,276.93,276.93,276.97,276.25,276.25,220220,276.601,1158,False
2020-08-24 09:52,2020-08-24,sigma_return,-0.00291346,0.000353836,285.3,285.31,285.34,284.46,284.47,284165,284.861,1332,False
2020-08-24 09:54,2020-08-24,sigma_return,-0.0031353,0.000383663,284.31,284.32,284.32,283.39,283.42,462090,283.885,2319,False
2020-08-31 15:59,2020-08-31,sigma_return,-0.003722,0.000459096,296.09,296.07,296.19,294.98,294.99,1.03339e+06,295.709,3703,False
2020-09-02 09:56,2020-09-02,sigma_return,-0.00386461,0.000445135,300.74,300.72,300.72,299.42,299.58,329935,299.947,1529,False
2020-10-06 10:43,2020-10-06,sigma_return,-0.00335799,0.000355731,280.4,280.39,280.4,279.25,279.46,216044,279.626,1317,False
2020-10-06 14:54,2020-10-06,sigma_return,-0.00501236,0.000542968,278.01,277.99,278.01,276.56,276.62,324808,277.212,1828,False
2020-10-29 15:59,2020-10-29,sigma_return,-0.00473121,0.000584209,277.54,277.54,277.58,276.21,276.23,851587,276.944,4287,False
2020-11-09 09:33,2020-11-09,sigma_return,-0.00617047,0.00055471,297.49,297.5,297.54,295.55,295.66,467540,296.475,2819,False
2020-11-09 11:22,2020-11-09,bar_range,0.00195675,0.000849355,296.12,296.12,299.14,296.12,296.7,194845,296.402,1227,False
2020-11-23 11:09,2020-11-23,sigma_return,-0.00289925,0.000339849,290.15,290.13,290.13,289.31,289.31,221992,289.606,1066,False
2021-01-04 10:45,2021-01-04,sigma_return,-0.0028425,0.000290396,313.55,313.53,313.53,312.63,312.66,201251,312.868,853,False
2021-01-08 09:32,2021-01-08,sigma_return,-0.00299434,0.000331555,317.74,317.73,317.76,316.77,316.79,218293,317.151,1350,False
2021-01-25 11:03,2021-01-25,sigma_return,-0.00476697,0.000401305,325.93,325.86,325.86,324.33,324.38,397850,324.969,1661,False
2021-01-27 09:32,2021-01-27,sigma_return,-0.00385868,0.000386235,324.57,324.55,324.59,322.98,323.32,272185,323.878,1593,False
2021-02-23 09:51,2021-02-23,sigma_return,0.00464707,0.000579226,311.3,311.31,312.77,311.26,312.75,813572,312.231,4685,False
2021-03-17 14:00,2021-03-17,sigma_return,0.00638056,0.000548668,317.14,317.15,319.23,317.14,319.17,695241,318.176,3809,False
2021-04-22 13:07,2021-04-22,sigma_return,-0.00312795,0.000285062,339.41,339.42,339.42,337.98,338.35,615065,338.653,2909,False
2021-05-04 09:32,2021-05-04,sigma_return,-0.0033044,0.000376082,333.44,333.43,333.45,332.31,332.34,526859,332.877,3315,False
2021-05-11 09:35,2021-05-11,sigma_return,0.00374778,0.000452763,319.59,319.6,320.83,319.6,320.79,602350,320.261,3826,False
2021-05-19 09:42,2021-05-19,sigma_return,0.00321392,0.000384023,316.86,316.86,317.89,316.83,317.88,347434,317.44,2226,False
2021-06-16 14:00,2021-06-16,sigma_return,-0.00663187,0.00025345,341.91,341.88,341.9,339.54,339.65,1.0095e+06,340.451,5845,False
2021-06-18 09:33,2021-06-18,sigma_return,0.0036645,0.000380885,343.21,343.21,344.49,342.95,344.47,423373,343.779,2802,False
2021-08-27 10:02,2021-08-27,sigma_return,0.00272647,0.000323371,373.6,373.63,374.64,373.61,374.62,403227,374.161,2468,False
2021-08-31 09:31,2021-08-31,sigma_return,-0.00158061,0.000193643,379.9,379.91,379.93,379.3,379.3,233569,379.592,1379,False
2021-09-20 09:31,2021-09-20,sigma_return,0.00443653,0.000376564,366.59,366.59,368.23,366.56,368.22,418002,367.344,2250,False
2021-10-12 09:33,2021-10-12,sigma_return,0.00320036,0.000366677,358.76,358.78,359.92,358.74,359.91,289391,359.371,1838,False
2021-11-03 14:00,2021-11-03,sigma_return,0.00228355,0.000249962,389.3,389.29,390.22,389.02,390.19,320880,389.665,1906,False
2021-11-09 09:58,2021-11-09,sigma_return,-0.00290555,0.000323564,396.37,396.38,396.38,395.01,395.22,835633,395.63,3944,False
2021-12-15 14:00,2021-12-15,sigma_return,-0.00513766,0.000502503,386.38,386.34,386.37,384.12,384.4,735239,384.96,3793,False
2021-12-15 14:03,2021-12-15,sigma_return,0.00597805,0.00057169,385.26,385.26,387.74,385.1,387.57,850142,386.522,4426,False
2022-02-10 12:45,2022-02-10,sigma_return,-0.00585689,0.00058107,364.74,364.75,364.91,362.6,362.61,1.00386e+06,363.418,6586,False
2022-02-16 14:00,2022-02-16,sigma_return,0.00425436,0.000490946,351.83,351.8,353.69,351.67,353.33,485282,352.843,1752,False
2022-02-22 10:19,2022-02-22,bar_range,0.000467003,0.000772168,342.53,342.55,342.8,339.17,342.69,136696,342.656,679,False
2022-03-08 09:35,2022-03-08,sigma_return,0.00841909,0.000756994,322.9,322.88,325.65,322.7,325.63,702681,324.178,3834,False
2022-03-16 14:01,2022-03-16,sigma_return,-0.00589955,0.000641506,334.91,334.93,334.97,332.32,332.94,704470,333.317,3295,False
2022-04-05 10:05,2022-04-05,sigma_return,-0.00313861,0.00037718,366.98,366.95,366.99,365.8,365.83,408808,366.202,2252,False
2022-05-02 09:43,2022-05-02,bar_range,0.00267099,0.000912797,314.07,314.07,315.11,311.77,314.91,597851,314.394,2815,False
2022-05-05 15:50,2022-05-05,sigma_return,0.00965695,0.00107138,310.19,310.19,313.25,310.17,313.2,1.20777e+06,312.058,6686,False
2022-06-15 14:00,2022-06-15,bar_range,0.00110068,0.000671831,281.49,281.49,283.15,279.92,281.8,951693,281.996,4280,False
2022-06-15 14:01,2022-06-15,bar_range,-0.00444564,0.000673288,281.8,281.83,282.01,279.15,280.55,1.15473e+06,280.329,4866,False
2022-06-15 14:38,2022-06-15,abs_return;sigma_return;bar_range,0.0122526,0.0009258,279.04,279.1,282.48,279.1,282.48,1.22357e+06,280.843,7103,False
2022-07-15 10:00,2022-07-15,sigma_return,0.0060319,0.000738192,289.25,289.28,291.33,289.28,291,1.20762e+06,290.601,6459,False
